feature,correlation,absolute_correlation
Current - Spindle L3 - min,-0.04851123585451872,0.04851123585451872
Current - Spindle L2 - min,-0.04810529541987777,0.04810529541987777
Current - Spindle L1 - min,-0.047995174027346585,0.047995174027346585
Current - Driving axle Z L2 - mean,-0.04480763321783669,0.04480763321783669
Current - Driving axle Y L3 - skew,-0.044266632875730585,0.044266632875730585
Current - Driving axle Z L1 - kurtosis,-0.044087675584533643,0.044087675584533643
Current - Driving axle Z L3 - kurtosis,-0.04003380078164194,0.04003380078164194
Accelerometer - Y Driving axle +Z - kurtosis,0.03959944378413529,0.03959944378413529
Current - Driving axle Z L1 - skew,-0.037949708516449084,0.037949708516449084
Current - Driving axle Z L3 - max,0.03692759701974962,0.03692759701974962
Current - Driving axle Z L3 - skew,-0.034640494229900905,0.034640494229900905
Current - Driving axle Z L2 - std,0.03333484532433066,0.03333484532433066
Current - Driving axle Z L2 - kurtosis,-0.03179982890940337,0.03179982890940337
Accelerometer - Spindle -Z - mean,-0.03174097829998286,0.03174097829998286
Accelerometer - X Driving axle -X - mean,-0.03152879307486306,0.03152879307486306
Accelerometer - X Driving axle +Z - skew,-0.029136323707242794,0.029136323707242794
Current - Driving axle Z L2 - skew,-0.024939863726724874,0.024939863726724874
Accelerometer - Y Driving axle +Y - kurtosis,0.021573866277051837,0.021573866277051837
Current - Spindle L2 - max,-0.018695379629929273,0.018695379629929273
Current - Driving axle Y L2 - skew,-0.01651898795064895,0.01651898795064895
Current - Driving axle Z L2 - max,0.01407787214414024,0.01407787214414024
Current - Driving axle Z L3 - mean,-0.014033950720852107,0.014033950720852107
Current - Driving axle Z L1 - max,0.012314791155954932,0.012314791155954932
Accelerometer - X Driving axle +Z - kurtosis,0.012296456350859769,0.012296456350859769
Current - Spindle L3 - max,-0.011871817878064605,0.011871817878064605
Current - Spindle L1 - skew,0.009542493811952641,0.009542493811952641
Current - Spindle L3 - skew,0.009403546416491059,0.009403546416491059
Current - Spindle L1 - max,-0.008412316897494193,0.008412316897494193
Current - Driving axle Z L1 - mean,0.007941955841671443,0.007941955841671443
Accelerometer - Spindle -Z - skew,0.007424374963379294,0.007424374963379294
Current - Driving axle Z L1 - min,-0.0033972144773526595,0.0033972144773526595
Current - Spindle L2 - skew,0.000856417465728291,0.000856417465728291
