mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,experiment
0.40700554847717285,0.030487425101454833,0.008131170272827148,0.0007264099237433362,0.7,3.0,0.5,250,8,2,0.05,0.01,0.6,"{'subsample': 0.7, 'reg_lambda': 3.0, 'reg_alpha': 0.5, 'n_estimators': 250, 'min_child_weight': 8, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0.01, 'colsample_bytree': 0.6}",-0.12611739998604576,-0.013706915579259436,-0.01976041485026736,-0.056717529750809646,-0.05928210655426804,-0.05511687334413005,0.040064572408483455,17,A_condition_based
0.2851309299468994,0.009335386604076179,0.011306381225585938,0.003654215064929274,1.0,1.0,0.0,150,5,3,0.05,0.1,0.6,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 150, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.6}",-0.12622549849990675,-0.010065708479260771,-0.021251720708437616,-0.056118160622587995,-0.04944352691259233,-0.0526209230445571,0.040583083142417084,12,A_condition_based
1.1343031406402588,0.021553216598741456,0.009868431091308593,0.003711850907195688,0.7,10.0,0.01,150,5,5,0.05,0.01,0.8,"{'subsample': 0.7, 'reg_lambda': 10.0, 'reg_alpha': 0.01, 'n_estimators': 150, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.01, 'colsample_bytree': 0.8}",-0.11854485586725866,-0.013007572094254237,-0.018449914998426114,-0.050433005468723945,-0.05101786832518953,-0.05029064335077049,0.03758469378273084,5,A_condition_based
0.8144087314605712,0.026487283212041808,0.00782914161682129,0.0005292248557850013,1.0,5.0,0.01,400,3,2,0.05,0.01,0.8,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 0.01, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0.01, 'colsample_bytree': 0.8}",-0.12405553360742022,-0.014413555804867511,-0.0217405631672216,-0.05971480991706686,-0.0535556037022942,-0.05469601323977406,0.03884834613239194,16,A_condition_based
0.5048447132110596,0.0052296646788658864,0.009922409057617187,0.002425203905560755,0.85,1.0,0.0,150,1,3,0.02,0.0,0.6,"{'subsample': 0.85, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.02, 'gamma': 0.0, 'colsample_bytree': 0.6}",-0.11791385415660749,-0.011433681581564875,-0.02169049402742644,-0.05407394229869578,-0.051344839284530465,-0.051291362269765016,0.03717834893365684,8,A_condition_based
0.5196589946746826,0.010956790653269592,0.008794164657592774,0.0015643113852636234,1.0,10.0,0.01,150,8,3,0.1,0.0,0.8,"{'subsample': 1.0, 'reg_lambda': 10.0, 'reg_alpha': 0.01, 'n_estimators': 150, 'min_child_weight': 8, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.0, 'colsample_bytree': 0.8}",-0.12515714231673072,-0.011096464764270663,-0.02176318901380101,-0.0609733537544428,-0.057227603478662056,-0.05524355066558145,0.03998644074302586,18,A_condition_based
0.31536245346069336,0.005584555672691785,0.00970916748046875,0.0009682032767924948,1.0,3.0,0.1,150,5,2,0.05,0.01,0.8,"{'subsample': 1.0, 'reg_lambda': 3.0, 'reg_alpha': 0.1, 'n_estimators': 150, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0.01, 'colsample_bytree': 0.8}",-0.12463132876547155,-0.01380233056462672,-0.023277094088395796,-0.05553294063530413,-0.05326629530162754,-0.05410199787108514,0.03886224489298632,13,A_condition_based
2.07970986366272,0.024240510041331747,0.011841917037963867,0.003975022305594921,0.85,5.0,0.1,400,8,4,0.05,0.0,0.6,"{'subsample': 0.85, 'reg_lambda': 5.0, 'reg_alpha': 0.1, 'n_estimators': 400, 'min_child_weight': 8, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.6}",-0.13417499910975805,-0.011240062647739895,-0.017300073018334645,-0.05797124428367978,-0.051634203004047745,-0.05446411641271202,0.043871672230364,14,A_condition_based
1.9192218780517578,0.040515329106247056,0.0068533897399902345,0.0017581162000457743,1.0,10.0,0.0,250,5,4,0.05,0.0,1.0,"{'subsample': 1.0, 'reg_lambda': 10.0, 'reg_alpha': 0.0, 'n_estimators': 250, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 1.0}",-0.11759962796313166,-0.012632563414922835,-0.020615491731645463,-0.052930805586268274,-0.055024877133929326,-0.05176067316597951,0.037007630309100197,9,A_condition_based
0.29730610847473143,0.00998797814443923,0.007921838760375976,0.0018928815882919246,1.0,1.0,0.5,150,8,4,0.1,0.01,1.0,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'n_estimators': 150, 'min_child_weight': 8, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.01, 'colsample_bytree': 1.0}",-0.04588664176485647,-0.02738833485551382,-0.03082786683203755,-0.08581848453142615,-0.07536861145454934,-0.05305798788767666,0.023560779437196474,18,B_current_based
