experiment,ToolIndex,Samples,MAE,RMSE,R2
D_age_aware,2,48,0.05949227873952134,0.08305681024469733,0.9232299449251585
D_age_aware,11,1,0.7204151749610901,0.7204151749610901,
D_age_aware,102,82,0.16676967322391006,0.19997574916337674,0.5335682813003515
B_current_based,2,48,0.11571859174936368,0.14893767580494632,0.7531401274908659
B_current_based,11,1,0.726752519607544,0.726752519607544,
B_current_based,102,82,0.14268739412975992,0.17075073809672228,0.6599376196380785
