experiment,model,fold,number_features,training_rows,validation_rows,training_tools,validation_tools,MAE,RMSE,R2
C_vibration_based,DummyMean,3,53,669,168,"[4, 5, 6, 8, 9, 10, 101, 103, 105]","[3, 7]",0.24624095670238097,0.2862306331743205,-3.108155803843715e-07
C_vibration_based,DummyMean,4,53,670,167,"[3, 4, 6, 7, 9, 10, 101, 103, 105]","[5, 8]",0.25397874948197335,0.29320703776647633,-0.00020446919051719803
C_vibration_based,DummyMean,5,53,665,172,"[3, 4, 5, 7, 8, 9, 10, 105]","[6, 101, 103]",0.25194671825581394,0.2911203165357342,-7.713652947494154e-07
C_vibration_based,Ridge,1,53,673,164,"[3, 4, 5, 6, 7, 8, 101, 103, 105]","[9, 10]",0.6132065959027599,2.271635404053757,-60.03953419080322
C_vibration_based,Ridge,2,53,671,166,"[3, 5, 6, 7, 8, 9, 10, 101, 103]","[4, 105]",0.20073155449578992,0.34224598005228285,-0.371981384916112
C_vibration_based,Ridge,3,53,669,168,"[4, 5, 6, 8, 9, 10, 101, 103, 105]","[3, 7]",0.3559233200676567,1.9287245767096228,-44.405487348494376
C_vibration_based,Ridge,4,53,670,167,"[3, 4, 6, 7, 9, 10, 101, 103, 105]","[5, 8]",0.30883542393250807,0.39175142549180997,-0.7855054533064272
C_vibration_based,Ridge,5,53,665,172,"[3, 4, 5, 7, 8, 9, 10, 105]","[6, 101, 103]",0.23552185322975056,0.36155135830915164,-0.5423939049350643
C_vibration_based,RandomForest,1,53,673,164,"[3, 4, 5, 6, 7, 8, 101, 103, 105]","[9, 10]",0.3390298436276244,0.38553393246534,-0.7581631356553566
C_vibration_based,RandomForest,2,53,671,166,"[3, 5, 6, 7, 8, 9, 10, 101, 103]","[4, 105]",0.07847433126166006,0.10198949129024003,0.8781621129702758
C_vibration_based,RandomForest,3,53,669,168,"[4, 5, 6, 8, 9, 10, 101, 103, 105]","[3, 7]",0.1141264438649496,0.14454686429875668,0.7449735285287985
C_vibration_based,RandomForest,4,53,670,167,"[3, 4, 6, 7, 9, 10, 101, 103, 105]","[5, 8]",0.16439666243331344,0.18827608015896627,0.5875889379235444
C_vibration_based,RandomForest,5,53,665,172,"[3, 4, 5, 7, 8, 9, 10, 105]","[6, 101, 103]",0.1765833729523833,0.22399267049552996,0.4079983454257001
D_age_aware,DummyMean,1,126,673,164,"[3, 4, 5, 6, 7, 8, 101, 103, 105]","[9, 10]",0.25166916716968074,0.29078494714420766,-0.00017914642072636155
D_age_aware,DummyMean,2,126,671,166,"[3, 5, 6, 7, 8, 9, 10, 101, 103]","[4, 105]",0.2530151011690338,0.2921893683508223,-7.520981968323071e-07
D_age_aware,DummyMean,3,126,669,168,"[4, 5, 6, 8, 9, 10, 101, 103, 105]","[3, 7]",0.24624095670238097,0.2862306331743205,-3.108155803843715e-07
D_age_aware,DummyMean,4,126,670,167,"[3, 4, 6, 7, 9, 10, 101, 103, 105]","[5, 8]",0.25397874948197335,0.29320703776647633,-0.00020446919051719803
D_age_aware,DummyMean,5,126,665,172,"[3, 4, 5, 7, 8, 9, 10, 105]","[6, 101, 103]",0.25194671825581394,0.2911203165357342,-7.713652947494154e-07
D_age_aware,Ridge,1,126,673,164,"[3, 4, 5, 6, 7, 8, 101, 103, 105]","[9, 10]",0.19206219956419746,0.4504407468354817,-1.3999892318733633
D_age_aware,Ridge,2,126,671,166,"[3, 5, 6, 7, 8, 9, 10, 101, 103]","[4, 105]",0.24951054294850988,0.27120361214833255,0.13848578712062543
D_age_aware,Ridge,3,126,669,168,"[4, 5, 6, 8, 9, 10, 101, 103, 105]","[3, 7]",0.2413484971407367,1.032952047284496,-12.023515579896197
D_age_aware,Ridge,4,126,670,167,"[3, 4, 6, 7, 9, 10, 101, 103, 105]","[5, 8]",0.24299512874392323,0.27673225791893385,0.10903717580845407
D_age_aware,Ridge,5,126,665,172,"[3, 4, 5, 7, 8, 9, 10, 105]","[6, 101, 103]",0.26919219985073306,0.3116744714140536,-0.1461930443875592
D_age_aware,RandomForest,1,126,673,164,"[3, 4, 5, 6, 7, 8, 101, 103, 105]","[9, 10]",0.2663456178820443,0.30374804331611016,-0.09134215616045127
D_age_aware,RandomForest,2,126,671,166,"[3, 5, 6, 7, 8, 9, 10, 101, 103]","[4, 105]",0.08765209407149809,0.1028711953292481,0.8760464184475535
D_age_aware,RandomForest,3,126,669,168,"[4, 5, 6, 8, 9, 10, 101, 103, 105]","[3, 7]",0.10085095740845393,0.11940684898529749,0.8259690911160606
D_age_aware,RandomForest,4,126,670,167,"[3, 4, 6, 7, 9, 10, 101, 103, 105]","[5, 8]",0.1626032089589945,0.19142224327958113,0.5736906941291953
D_age_aware,RandomForest,5,126,665,172,"[3, 4, 5, 7, 8, 9, 10, 105]","[6, 101, 103]",0.15082651824857954,0.19327412354669096,0.5592394356452428
