MachineID,ToolIndex,NumberOfCycle,MillingToolType,ADOC,RDOC,HardnessMean,ToolHolderLength,LifecycleHealthRaw,LifecycleHealth,LifecycleBand,ConditionHealthRaw,ConditionHealth,ConditionBand,HealthGap,HealthGapState,AnomalyScore,IsAnomaly,ActualHealth,LifecycleDriver1,LifecycleDriver1_SHAP,LifecycleDriver2,LifecycleDriver2_SHAP,LifecycleDriver3,LifecycleDriver3_SHAP,LifecycleDriver4,LifecycleDriver4_SHAP,LifecycleDriver5,LifecycleDriver5_SHAP,ConditionDriver1,ConditionDriver1_SHAP,ConditionDriver2,ConditionDriver2_SHAP,ConditionDriver3,ConditionDriver3_SHAP,ConditionDriver4,ConditionDriver4_SHAP,ConditionDriver5,ConditionDriver5_SHAP
CNC-01,2,11,1,5.0,8.0,36.67,80.0,0.7865439057350159,0.7865439057350159,HEALTHY,0.7775261998176575,0.7775261998176575,HEALTHY,-0.009017705917358398,CONSISTENT,-0.018649339564396294,False,0.795918367,Accelerometer - Spindle -Z - std,-0.013795256614685059,Current - Driving axle X L3 - kurtosis,-0.007345229387283325,Accelerometer - X Driving axle -X - skew,-0.006990430876612663,Current - Spindle L1 - max,-0.004355000797659159,Current - Driving axle X L1 - std,-0.0033127437345683575,Current - Driving axle X L3 - kurtosis,-0.07556742429733276,Current - Driving axle X L2 - kurtosis,-0.03923160210251808,Current - Driving axle Y L2 - mean,-0.015546942129731178,Current - Spindle L3 - skew,-0.012798835523426533,Current - Driving axle Z L2 - max,-0.010798347182571888
CNC-01,2,12,1,5.0,8.0,36.67,80.0,0.7643219828605652,0.7643219828605652,HEALTHY,0.7296919226646423,0.7296919226646423,EARLY_WEAR,-0.03463006019592285,CONSISTENT,-0.00904222976102137,False,0.775510204,Accelerometer - Spindle -Z - std,-0.009888299740850925,Current - Driving axle X L3 - kurtosis,-0.008957210928201675,Accelerometer - X Driving axle -X - skew,-0.00651806965470314,Accelerometer - Spindle -Z - max,-0.006023951806128025,Current - Driving axle X L1 - kurtosis,-0.004889368545264006,Current - Driving axle X L3 - kurtosis,-0.06800828874111176,Current - Spindle L1 - mean,-0.05017445981502533,Current - Driving axle X L2 - kurtosis,-0.03923160210251808,Current - Driving axle Y L2 - mean,-0.018167495727539062,Current - Spindle L2 - std,-0.012476187199354172
CNC-01,2,13,1,5.0,8.0,36.67,80.0,0.7463228702545166,0.7463228702545166,EARLY_WEAR,0.6647371649742126,0.6647371649742126,EARLY_WEAR,-0.08158570528030396,CONSISTENT,-0.08345993134767887,False,0.755102041,Accelerometer - Spindle -Z - std,-0.013820984400808811,Current - Driving axle X L3 - kurtosis,-0.008237950503826141,Accelerometer - X Driving axle -X - skew,-0.0073517863638699055,Current - Driving axle X L2 - std,-0.004761519376188517,Accelerometer - Spindle -Z - max,-0.00462352903559804,Current - Driving axle X L3 - kurtosis,-0.06446108967065811,Current - Driving axle X L2 - kurtosis,-0.03696981072425842,Current - Driving axle Y L3 - max,-0.010649889707565308,Current - Spindle L2 - std,-0.008938211016356945,Current - Driving axle Z L2 - kurtosis,-0.007504168897867203
CNC-01,2,14,1,5.0,8.0,36.67,80.0,0.7337341904640198,0.7337341904640198,EARLY_WEAR,0.7898529171943665,0.7898529171943665,HEALTHY,0.05611872673034668,CONSISTENT,-0.0634305105366148,False,0.734693878,Accelerometer - Spindle -Z - std,-0.011780016124248505,Current - Driving axle X L3 - kurtosis,-0.008555023930966854,Accelerometer - X Driving axle -X - skew,-0.0075671132653951645,Current - Driving axle X L2 - std,-0.004761519376188517,Current - Spindle L1 - max,-0.0043939258903265,Current - Driving axle X L3 - kurtosis,-0.0566888228058815,Current - Driving axle X L2 - kurtosis,-0.0330873504281044,Current - Spindle L2 - std,-0.011061747558414936,Current - Driving axle Y L3 - max,-0.010649889707565308,Current - Driving axle Z L1 - min,-0.008669727481901646
CNC-01,2,15,1,5.0,8.0,36.67,80.0,0.7468791604042053,0.7468791604042053,EARLY_WEAR,0.8000522255897522,0.8000522255897522,HEALTHY,0.053173065185546875,CONSISTENT,-0.05212966927432361,False,0.714285714,Accelerometer - Spindle -Z - std,-0.0110611692070961,Current - Driving axle X L3 - kurtosis,-0.007662302814424038,Accelerometer - X Driving axle -X - skew,-0.00648758327588439,Current - Spindle L1 - max,-0.00417618453502655,Accelerometer - Spindle -Z - max,-0.003933827858418226,Current - Driving axle X L3 - kurtosis,-0.05805826187133789,Current - Spindle L1 - mean,-0.05341979116201401,Current - Driving axle X L2 - kurtosis,-0.0298219732940197,Current - Spindle L2 - std,-0.012335659004747868,Current - Driving axle Z L2 - max,-0.010798347182571888
CNC-01,2,16,1,5.0,8.0,36.67,80.0,0.7613215446472168,0.7613215446472168,HEALTHY,0.6009659171104431,0.6009659171104431,EARLY_WEAR,-0.16035562753677368,CONDITION_WORSE_THAN_LIFECYCLE,-0.05773230653769634,False,0.693877551,Accelerometer - Spindle -Z - std,-0.013952271081507206,Current - Driving axle X L3 - kurtosis,-0.007662302814424038,Accelerometer - X Driving axle -X - skew,-0.007292907685041428,Accelerometer - Spindle -Z - max,-0.006023951806128025,Current - Spindle L1 - max,-0.004784652963280678,Current - Driving axle X L3 - kurtosis,-0.0773291066288948,Current - Driving axle X L2 - kurtosis,-0.043214697390794754,Current - Driving axle Y L1 - min,-0.022363822907209396,Current - Spindle L2 - std,-0.012335659004747868,Current - Driving axle Y L3 - max,-0.010649889707565308
CNC-01,2,17,1,5.0,8.0,36.67,80.0,0.7192122936248779,0.7192122936248779,EARLY_WEAR,0.6075893044471741,0.6075893044471741,EARLY_WEAR,-0.11162298917770386,CONSISTENT,-0.08253814146853189,False,0.673469388,Accelerometer - Spindle -Z - std,-0.013176155276596546,Current - Driving axle X L3 - kurtosis,-0.008555023930966854,Accelerometer - X Driving axle -X - skew,-0.007548048626631498,Current - Driving axle X L2 - std,-0.004761519376188517,Accelerometer - Spindle -Z - max,-0.00462352903559804,Current - Driving axle X L3 - kurtosis,-0.06807020306587219,Current - Driving axle X L2 - kurtosis,-0.03696981072425842,Current - Driving axle Y L3 - max,-0.010649889707565308,Current - Spindle L3 - kurtosis,-0.009212641976773739,Current - Spindle L2 - std,-0.008938211016356945
CNC-01,2,18,1,5.0,8.0,36.67,80.0,0.7158700823783875,0.7158700823783875,EARLY_WEAR,0.7748130559921265,0.7748130559921265,HEALTHY,0.058942973613739014,CONSISTENT,-0.09229885132302995,False,0.653061224,Accelerometer - Spindle -Z - std,-0.013751136139035225,Current - Driving axle X L3 - kurtosis,-0.008555023930966854,Accelerometer - X Driving axle -X - skew,-0.0075671132653951645,Current - Driving axle X L1 - std,-0.007036946248263121,Current - Driving axle X L2 - std,-0.004761519376188517,Current - Driving axle X L3 - kurtosis,-0.07076878100633621,Current - Driving axle X L2 - kurtosis,-0.039865266531705856,Current - Spindle L2 - std,-0.012335659004747868,Current - Driving axle Z L2 - max,-0.010798347182571888,Current - Driving axle Y L3 - max,-0.008552209474146366
CNC-01,2,19,1,5.0,8.0,36.67,80.0,0.7081488966941833,0.7081488966941833,EARLY_WEAR,0.9391418695449829,0.9391418695449829,HEALTHY,0.23099297285079956,CONDITION_BETTER_THAN_LIFECYCLE,-0.0108134526252745,False,0.632653061,Accelerometer - Spindle -Z - std,-0.01397619303315878,Current - Driving axle X L3 - kurtosis,-0.007662302814424038,Accelerometer - X Driving axle -X - skew,-0.007224981673061848,Current - Driving axle X L2 - std,-0.0053275576792657375,Current - Spindle L1 - max,-0.004827722441405058,Current - Driving axle X L3 - kurtosis,-0.05665065720677376,Current - Driving axle Z L1 - min,-0.04677964001893997,Current - Driving axle X L2 - kurtosis,-0.03200127184391022,Current - Spindle L2 - std,-0.010964685119688511,Current - Driving axle Y L3 - max,-0.007800598628818989
CNC-01,2,21,1,5.0,8.0,36.67,80.0,0.6620115041732788,0.6620115041732788,EARLY_WEAR,0.6852924823760986,0.6852924823760986,EARLY_WEAR,0.023280978202819824,CONSISTENT,-0.07560105883871421,False,0.591836735,Accelerometer - Spindle -Z - std,-0.012378139421343803,Current - Driving axle X L3 - kurtosis,-0.00848324317485094,Accelerometer - X Driving axle -X - skew,-0.008068948052823544,Current - Driving axle X L2 - std,-0.005909315776079893,Current - Spindle L1 - max,-0.005227856803685427,Current - Driving axle X L3 - kurtosis,-0.04536224529147148,Current - Driving axle X L2 - kurtosis,-0.03785179927945137,Current - Driving axle Y L3 - max,-0.010649889707565308,Current - Spindle L3 - kurtosis,-0.009789124131202698,Current - Spindle L2 - std,-0.008938211016356945
CNC-01,2,22,1,5.0,8.0,36.67,80.0,0.6819554567337036,0.6819554567337036,EARLY_WEAR,0.6897923350334167,0.6897923350334167,EARLY_WEAR,0.007836878299713135,CONSISTENT,-0.08070306903207791,False,0.571428571,Accelerometer - Spindle -Z - std,-0.011307112872600555,Current - Driving axle X L3 - kurtosis,-0.008555023930966854,Accelerometer - X Driving axle -X - skew,-0.008009565994143486,Current - Driving axle X L1 - std,-0.007036946248263121,Current - Driving axle X L2 - std,-0.005853641778230667,Current - Driving axle X L3 - kurtosis,-0.0692555233836174,Current - Driving axle X L2 - kurtosis,-0.03696981072425842,Current - Spindle L2 - std,-0.011061747558414936,Current - Driving axle Y L3 - max,-0.010649889707565308,Current - Driving axle Z L3 - min,-0.007683163974434137
CNC-01,2,23,1,5.0,8.0,36.67,80.0,0.6204345226287842,0.6204345226287842,EARLY_WEAR,0.7054837942123413,0.7054837942123413,EARLY_WEAR,0.08504927158355713,CONSISTENT,-0.06543881341539343,False,0.551020408,Accelerometer - Spindle -Z - std,-0.011060391552746296,Current - Driving axle X L3 - kurtosis,-0.008780954405665398,Accelerometer - X Driving axle -X - skew,-0.00830134004354477,Accelerometer - Spindle +Y - kurtosis,-0.006619831547141075,Current - Driving axle X L2 - std,-0.005909315776079893,Current - Driving axle X L3 - kurtosis,-0.07046602666378021,Current - Driving axle X L2 - kurtosis,-0.03449138626456261,Current - Spindle L2 - std,-0.011061747558414936,Current - Driving axle Y L3 - max,-0.010649889707565308,Current - Spindle L2 - min,-0.006916592363268137
CNC-01,2,24,1,5.0,8.0,36.67,80.0,0.6735664010047913,0.6735664010047913,EARLY_WEAR,0.9259132742881775,0.9259132742881775,HEALTHY,0.25234687328338623,CONDITION_BETTER_THAN_LIFECYCLE,-0.03565167769248162,False,0.530612245,Current - Driving axle X L3 - kurtosis,-0.00974977295845747,Accelerometer - Spindle -Z - std,-0.008142801932990551,Accelerometer - X Driving axle -X - skew,-0.007698088884353638,Current - Spindle L1 - max,-0.005453094374388456,Current - Driving axle X L1 - kurtosis,-0.004889368545264006,Current - Driving axle X L3 - kurtosis,-0.06019354984164238,Current - Driving axle X L2 - kurtosis,-0.031056957319378853,Current - Spindle L2 - std,-0.012335659004747868,Current - Driving axle Z L1 - max,-0.007028239779174328,Current - Spindle L1 - max,-0.00612650765106082
CNC-01,2,25,1,5.0,8.0,36.67,80.0,0.6395791172981262,0.6395791172981262,EARLY_WEAR,0.6298430562019348,0.6298430562019348,EARLY_WEAR,-0.009736061096191406,CONSISTENT,-0.06940024753953905,False,0.510204082,Accelerometer - Spindle -Z - std,-0.012697309255599976,Current - Driving axle X L3 - kurtosis,-0.008626995608210564,Accelerometer - X Driving axle -X - skew,-0.008533010259270668,Current - Driving axle X L1 - std,-0.007178592029958963,Current - Spindle L1 - max,-0.0056034838780760765,Current - Driving axle X L3 - kurtosis,-0.06446108967065811,Current - Driving axle X L2 - kurtosis,-0.03696981072425842,Current - Spindle L2 - std,-0.011061747558414936,Current - Driving axle Y L3 - max,-0.010649889707565308,Current - Driving axle Z L2 - kurtosis,-0.007504168897867203
CNC-01,2,26,1,5.0,8.0,36.67,80.0,0.5357410907745361,0.5357410907745361,EARLY_WEAR,0.5739762187004089,0.5739762187004089,EARLY_WEAR,0.0382351279258728,CONSISTENT,-0.051601948613660686,False,0.489795918,Accelerometer - X Driving axle -X - skew,-0.00925335194915533,Accelerometer - Spindle -Z - std,-0.008825734257698059,Current - Driving axle X L3 - kurtosis,-0.008780954405665398,Current - Driving axle X L1 - std,-0.006988937500864267,Current - Spindle L1 - max,-0.006112499162554741,Current - Driving axle X L3 - kurtosis,-0.06807020306587219,Current - Driving axle X L2 - mean,-0.045126769691705704,Current - Driving axle X L2 - kurtosis,-0.03449138626456261,Current - Spindle L2 - std,-0.011061747558414936,Current - Driving axle Y L3 - max,-0.010649889707565308
CNC-01,2,27,1,5.0,8.0,36.67,80.0,0.521681010723114,0.521681010723114,EARLY_WEAR,0.5630934238433838,0.5630934238433838,EARLY_WEAR,0.041412413120269775,CONSISTENT,-0.06610878231596701,False,0.469387755,Accelerometer - Spindle -X - std,-0.014730113558471203,Accelerometer - X Driving axle -X - skew,-0.012905587442219257,Accelerometer - Spindle -Z - std,-0.010593547485768795,Current - Driving axle X L3 - kurtosis,-0.008780954405665398,Current - Driving axle X L1 - std,-0.008092548698186874,Current - Driving axle X L3 - kurtosis,-0.0692555233836174,Current - Driving axle X L2 - mean,-0.045126769691705704,Current - Driving axle X L2 - kurtosis,-0.03696981072425842,Current - Spindle L2 - std,-0.011061747558414936,Current - Driving axle Y L3 - max,-0.010649889707565308
CNC-01,2,28,1,5.0,8.0,36.67,80.0,0.468262642621994,0.468262642621994,DEGRADED,0.5106487274169922,0.5106487274169922,EARLY_WEAR,0.04238608479499817,CONSISTENT,-0.04380141451992303,False,0.448979592,Accelerometer - Spindle -X - std,-0.06289184838533401,Accelerometer - X Driving axle -X - skew,-0.01570921204984188,Accelerometer - Spindle -Z - std,-0.011371318250894547,Current - Driving axle X L3 - kurtosis,-0.00974977295845747,Current - Spindle L1 - max,-0.00800541415810585,Current - Driving axle X L3 - kurtosis,-0.07165557891130447,Current - Driving axle X L2 - mean,-0.045126769691705704,Current - Driving axle X L2 - kurtosis,-0.03696981072425842,Current - Driving axle Z L2 - kurtosis,-0.013221034780144691,Current - Spindle L2 - std,-0.011061747558414936
