feature,unique_values,variance,constant
Current - Driving axle Z L2 - max,821,112728689.66752699,False
Current - Driving axle Z L2 - mean,837,5958184.784350799,False
Current - Driving axle Z L2 - min,76,186.5509194948923,False
Current - Driving axle Z L2 - skew,837,4.000164770505519,False
Current - Driving axle Z L2 - std,837,9453756.683846872,False
Current - Driving axle Z L3 - kurtosis,837,397.5101590133405,False
Current - Driving axle Z L3 - max,813,112743637.70484129,False
Current - Driving axle Z L3 - mean,837,5867712.497422496,False
Current - Driving axle Z L3 - min,73,183.76225755003344,False
Current - Driving axle Z L3 - skew,837,4.1517847773570375,False
Current - Driving axle Z L3 - std,837,9643968.276232664,False
Current - Spindle L1 - kurtosis,837,29.807012336178353,False
Current - Spindle L1 - max,835,8783243289.60435,False
Current - Spindle L1 - mean,837,244070890.89865944,False
Current - Spindle L1 - min,711,3849587012.2619996,False
Current - Spindle L1 - skew,837,0.4122849106747089,False
Current - Spindle L1 - std,837,347075676.43070436,False
Current - Spindle L2 - kurtosis,837,30.993453095251294,False
Current - Spindle L2 - max,837,8896549962.054743,False
Current - Spindle L2 - mean,837,243392357.3251115,False
Current - Spindle L2 - min,725,3859356186.2437477,False
Current - Spindle L2 - skew,837,0.42030612452902616,False
Current - Spindle L2 - std,837,347665360.8394091,False
Current - Spindle L3 - kurtosis,837,30.382817708725863,False
Current - Spindle L3 - max,834,8805162445.966843,False
Current - Spindle L3 - mean,837,243930548.97991294,False
Current - Spindle L3 - min,736,3844807668.154004,False
Current - Spindle L3 - skew,837,0.4111726498471102,False
Current - Spindle L3 - std,837,344770431.73487407,False
HardnessMean,15,2.362227952987717,False
MillingToolType,2,0.21835788559048327,False
NumberOfCycle,149,1372.0348819262233,False
RDOC,2,1.9322497756283834,False
ToolHolderLength,2,112.77460513453718,False
