Rank,experiment,number_features,CV_MAE,CV_RMSE,CV_R2,Fold_MAE_Std,Fold_RMSE_Std,Fold_R2_Std,SearchRuntimeSeconds
1,D_age_aware,126,0.13509600523694046,0.1786306069674528,0.6224282222918578,0.05847943083532797,0.06691125142526715,0.3112391890554212,14.335726737976074
2,B_current_based,77,0.16886038419135213,0.21760768971184924,0.43967983378750963,0.034305252926050384,0.044380256210676206,0.227681209978556,9.063292264938354
3,A_condition_based,125,0.17083746470355993,0.21838374718901138,0.43567615133993964,0.0687849299424366,0.07934940407574671,0.4084285937809111,17.867983102798462
4,C_vibration_based,53,0.1706945175630188,0.22347982301240543,0.40903138872816047,0.0819778160825094,0.08939173126909118,0.5161684738066001,5.885464906692505
